1635801309.034, 67
1635801310.034, 68
1635801325.046, 69
1635801326.078, 68
1635801328.041, 69
1635801329.1, 68
1635801333.044, 69
1635801334.057, 68
1635801341.032, 69
1635801342.021, 68
1635801346.069, 69
1635801347.051, 68
1635801354.028, 67
1635801355.028, 68
1635801376.029, 69
1635801377.022, 68
1635801404.042, 69
1635801405.037, 68
1635801406.026, 69
1635801407.025, 68
1635801408.027, 69
1635801410.039, 68
1635801411.032, 69
1635801412.035, 68
1635801413.032, 69
1635801414.032, 68
1635801415.032, 69
1635801417.058, 68
1635801422.022, 69
1635801423.04, 68
1635801424.072, 69
1635801426.027, 68
1635801427.059, 69
1635801428.041, 70
1635801429.055, 69
1635801436.033, 68
1635801437.024, 69
1635801440.04, 68
1635801441.053, 69
1635801446.05, 70
1635801447.045, 69
1635801449.048, 68
1635801450.025, 69
1635801466.052, 70
1635801467.036, 69
1635801481.03, 70
1635801482.043, 69
1635801516.042, 70
1635801517.022, 69
1635801526.065, 70
1635801527.066, 69
1635801528.055, 70
1635801529.023, 69
1635801546.046, 70
1635801547.066, 69
1635801551.035, 70
1635801552.029, 69
1635801553.076, 70
1635801560.032, 69
1635801561.03, 70
1635801586.04, 71
1635801587.049, 70
1635801609.056, 69
1635801610.047, 70
1635801621.032, 71
1635801622.035, 70
1635801646.031, 72
1635801647.032, 70
1635801656.051, 72
1635801657.042, 71
1635801658.026, 70
1635801674.021, 71
1635801675.017, 70
1635801677.034, 71
1635801679.036, 70
1635801683.055, 71
1635801687.042, 70
1635801688.032, 71
1635801691.033, 72
1635801692.056, 71
1635801706.053, 72
1635801709.04, 71
1635801711.029, 72
1635801712.032, 71
1635801713.037, 72
1635801714.024, 71
1635801715.034, 72
1635801718.039, 71
1635801719.033, 72
1635801729.059, 74
1635801730.059, 73
1635801731.058, 72
1635801761.033, 73
1635801762.029, 72
1635801766.074, 74
1635801767.043, 72
1635801796.059, 74
1635801797.08, 73
1635801798.047, 72
1635801817.043, 73
1635801818.047, 72
1635801820.023, 73
1635801826.045, 74
1635801827.037, 73
1635801831.026, 74
1635801832.022, 73
1635801834.024, 74
1635801835.027, 73
1635801838.032, 74
1635801839.029, 73
1635801848.03, 74
1635801850.061, 73
1635801853.024, 74
1635801855.033, 73
1635801856.04, 74
1635801857.033, 73
1635801858.017, 75
1635801859.057, 74
1635801865.054, 73
1635801866.044, 75
1635801867.074, 74
1635801870.022, 75
1635801871.058, 74
1635801881.023, 75
1635801882.062, 74
1635801884.022, 75
1635801887.049, 74
1635801888.04, 75
1635801890.024, 74
1635801892.039, 75
1635801897.034, 74
1635801898.064, 75
1635801923.036, 76
1635801924.029, 75
1635801971.028, 76
1635801972.037, 75
1635802006.057, 76
1635802007.051, 75
1635802008.039, 76
1635802010.032, 75
1635802011.035, 76
1635802012.032, 75
1635802013.024, 76
1635802018.033, 75
1635802019.05, 76
1635802020.054, 75
1635802021.049, 76
1635802022.033, 75
1635802023.035, 76
1635802030.045, 77
1635802032.031, 76
1635802037.038, 75
1635802038.032, 76
1635802041.039, 77
1635802042.062, 76
1635802065.057, 77
1635802067.043, 76
1635802071.073, 77
1635802072.047, 76
1635802076.036, 77
1635802079.029, 76
1635802080.047, 77
1635802081.038, 76
1635802084.043, 77
1635802085.044, 76
1635802086.025, 77
